salesDate,articleGroupDescription,brandDescription,Inhouse_Brand,quantity,category,retailPrice,season
2026-12-31,Casual shirt LS,Campbell,Internal,2856.0,Forecasted Sales,122184.8,Year Round
2026-12-31,Casual shirt LS,Donkervoort,Internal,576.0,Forecasted Sales,19762.57,Year Round
2026-12-31,Casual shirt LS,J.C. RAGS,Internal,376.0,Forecasted Sales,25799.52,Year Round
2026-12-31,Casual shirt LS,Others,External,3517.0,Forecasted Sales,325674.2,Year Round
2026-12-31,Dress belt,Dutch Dandies,Internal,93.0,Forecasted Sales,7082.18,Summer
2026-12-31,Dress belt,Others,External,11531.0,Forecasted Sales,792179.7,Summer
2026-12-31,Dress belt,Recall,Internal,15.0,Forecasted Sales,299.25,Summer
2026-12-31,T-shirt SS,J.C. RAGS,Internal,1744.0,Forecasted Sales,45194.84,Year Round
2026-12-31,T-shirt SS,Others,External,23450.0,Forecasted Sales,1207675.0,Year Round
2026-12-31,Mix & match trousers,Donkervoort,Internal,107.0,Forecasted Sales,8923.27,Summer
2026-12-31,Mix & match trousers,Dutch Dandies,Internal,27.0,Forecasted Sales,2013.38,Summer
2026-12-31,Mix & match trousers,Others,External,6277.0,Forecasted Sales,910792.7,Summer
2026-12-31,Mix & match trousers,Runway PARTY,Internal,319.0,Forecasted Sales,14110.68,Summer
2026-12-31,Crew-neck sweater,Donkervoort,Internal,6.0,Forecasted Sales,664.2,Winter
2026-12-31,Crew-neck sweater,Dutch Dandies,Internal,204.0,Forecasted Sales,11857.23,Winter
2026-12-31,Crew-neck sweater,Others,External,1652.0,Forecasted Sales,182876.4,Winter
2026-12-31,Crew-neck sweater,The BLUEPRINT Premium,Internal,582.0,Forecasted Sales,22492.37,Winter
2026-12-31,Mix & match jacket,Donkervoort,Internal,95.0,Forecasted Sales,10382.78,Summer
2026-12-31,Mix & match jacket,Dutch Dandies,Internal,31.0,Forecasted Sales,5267.02,Summer
2026-12-31,Mix & match jacket,Others,External,6349.0,Forecasted Sales,1699627.3,Summer
2026-12-31,Mix & match jacket,Runway PARTY,Internal,266.0,Forecasted Sales,21507.32,Summer
2026-12-31,Shoe care,Others,External,6452.0,Forecasted Sales,,Year Round
2026-12-31,Chino,Campbell,Internal,615.0,Forecasted Sales,24443.29,Year Round
2026-12-31,Chino,Donkervoort,Internal,108.0,Forecasted Sales,3712.75,Year Round
2026-12-31,Chino,Dutch Dandies,Internal,700.0,Forecasted Sales,55050.85,Year Round
2026-12-31,Chino,Others,External,5759.0,Forecasted Sales,849452.5,Year Round
2026-12-31,Suit,Dutch Dandies,Internal,14.0,Forecasted Sales,2346.89,Year Round
2026-12-31,Suit,Others,External,235.0,Forecasted Sales,98112.5,Year Round
2026-12-31,Suit,Recall,Internal,8288.0,Forecasted Sales,1978959.79,Year Round
2026-12-31,Suit,Runway PARTY,Internal,380.0,Forecasted Sales,62378.67,Year Round
2026-12-31,Socks,Campbell,Internal,10391.0,Forecasted Sales,70249.84,Year Round
2026-12-31,Socks,Dutch Dandies,Internal,296.0,Forecasted Sales,2054.05,Year Round
2026-12-31,Socks,J.C. RAGS,Internal,43.0,Forecasted Sales,613.57,Year Round
2026-12-31,Socks,Others,External,19792.0,Forecasted Sales,271150.4,Year Round
2026-12-31,Polo SS,Others,External,7591.0,Forecasted Sales,627775.7,Summer
2026-12-31,V-neck sweater,Campbell,Internal,13377.0,Forecasted Sales,542441.04,Winter
2026-12-31,V-neck sweater,Others,External,45.0,Forecasted Sales,4675.5,Winter
2026-12-31,Boxershort,Others,External,3839.0,Forecasted Sales,136668.4,Year Round
2026-12-31,Boxershort,The BLUEPRINT Premium,Internal,131.0,Forecasted Sales,917.04,Year Round
2026-12-31,Casual belt,Campbell,Internal,130.0,Forecasted Sales,3985.77,Year Round
2026-12-31,Casual belt,Others,External,8633.0,Forecasted Sales,632798.9,Year Round
2026-12-31,Others,Campbell,Internal,198.0,Forecasted Sales,17792.13,Year Round
2026-12-31,Others,Dutch Dandies,Internal,3212.0,Forecasted Sales,677211.55,Year Round
2026-12-31,Others,J.C. RAGS,Internal,841.0,Forecasted Sales,41610.84,Year Round
2026-12-31,Others,Others,External,25242.0,Forecasted Sales,772405.2,Year Round
2026-12-31,Others,Recall,Internal,647.0,Forecasted Sales,61609.51,Year Round
2026-12-31,Others,Runway PARTY,Internal,9.0,Forecasted Sales,199.76,Year Round
2026-12-31,Others,The BLUEPRINT Premium,Internal,594.0,Forecasted Sales,28785.13,Year Round
2026-12-31,Dress Shirt LS,Dutch Dandies,Internal,4388.0,Forecasted Sales,325206.81,Year Round
2026-12-31,Dress Shirt LS,Others,External,26623.0,Forecasted Sales,2473276.7,Year Round
2026-12-31,Dress Shirt LS,Recall,Internal,5504.0,Forecasted Sales,242871.05,Year Round
2026-12-31,Dress Shirt LS,Runway PARTY,Internal,79.0,Forecasted Sales,2082.52,Year Round
2026-12-31,Short,Others,External,2921.0,Forecasted Sales,258216.4,Summer
2026-12-31,5-pocket,Campbell,Internal,247.0,Forecasted Sales,7592.14,Year Round
2026-12-31,5-pocket,Others,External,7168.0,Forecasted Sales,774860.8,Year Round
