salesDate,articleGroupDescription,brandDescription,Inhouse_Brand,quantity,category,retailPrice,season
2026-12-31,Crew-neck sweater,Campbell,Internal,1985.0,Forecasted Sales,100469.33,Winter
2026-12-31,Crew-neck sweater,Donkervoort,Internal,326.0,Forecasted Sales,13665.16,Winter
2026-12-31,Crew-neck sweater,Dutch Dandies,Internal,1294.0,Forecasted Sales,116714.62,Winter
2026-12-31,Crew-neck sweater,J.C. RAGS,Internal,2554.0,Forecasted Sales,137565.81,Winter
2026-12-31,Crew-neck sweater,Others,External,13251.0,Forecasted Sales,1466885.7,Winter
2026-12-31,Crew-neck sweater,Recall,Internal,599.0,Forecasted Sales,34414.68,Winter
2026-12-31,Crew-neck sweater,The BLUEPRINT Premium,Internal,10780.0,Forecasted Sales,376414.95,Winter
2026-12-31,Padded jacket,Campbell,Internal,918.0,Forecasted Sales,74536.83,Winter
2026-12-31,Padded jacket,Donkervoort,Internal,471.0,Forecasted Sales,39908.24,Winter
2026-12-31,Padded jacket,J.C. RAGS,Internal,459.0,Forecasted Sales,39629.66,Winter
2026-12-31,Padded jacket,Others,External,4849.0,Forecasted Sales,1455669.8,Winter
2026-12-31,Padded jacket,Recall,Internal,35.0,Forecasted Sales,5387.43,Winter
2026-12-31,Padded jacket,The BLUEPRINT Premium,Internal,191.0,Forecasted Sales,5334.07,Winter
2026-12-31,Coat,Campbell,Internal,524.0,Forecasted Sales,79958.95,Winter
2026-12-31,Coat,Dutch Dandies,Internal,435.0,Forecasted Sales,83500.46,Winter
2026-12-31,Coat,J.C. RAGS,Internal,76.0,Forecasted Sales,5918.32,Winter
2026-12-31,Coat,Nobel,Internal,691.0,Forecasted Sales,105805.77,Winter
2026-12-31,Coat,Others,External,584.0,Forecasted Sales,195056.0,Winter
2026-12-31,Coat,Recall,Internal,1605.0,Forecasted Sales,250993.68,Winter
2026-12-31,Others,Dutch Dandies,Internal,73.0,Forecasted Sales,13828.93,Winter
2026-12-31,Others,Others,External,212.0,Forecasted Sales,6487.2,Winter
2026-12-31,Others,Recall,Internal,79.0,Forecasted Sales,5522.81,Winter
2026-12-31,Pull over half zip,Campbell,Internal,1382.0,Forecasted Sales,74023.31,Winter
2026-12-31,Pull over half zip,Donkervoort,Internal,83.0,Forecasted Sales,4521.93,Winter
2026-12-31,Pull over half zip,Dutch Dandies,Internal,155.0,Forecasted Sales,19464.2,Winter
2026-12-31,Pull over half zip,J.C. RAGS,Internal,709.0,Forecasted Sales,40825.75,Winter
2026-12-31,Pull over half zip,Others,External,4617.0,Forecasted Sales,627912.0,Winter
2026-12-31,Pull over half zip,The BLUEPRINT Premium,Internal,4136.0,Forecasted Sales,141989.08,Winter
2026-12-31,Pullover rollneck,Campbell,Internal,1103.0,Forecasted Sales,53098.76,Winter
2026-12-31,Pullover rollneck,Donkervoort,Internal,112.0,Forecasted Sales,4855.57,Winter
2026-12-31,Pullover rollneck,Dutch Dandies,Internal,616.0,Forecasted Sales,36037.8,Winter
2026-12-31,Pullover rollneck,J.C. RAGS,Internal,137.0,Forecasted Sales,7026.47,Winter
2026-12-31,Pullover rollneck,Others,External,2409.0,Forecasted Sales,300643.2,Winter
2026-12-31,Pullover rollneck,The BLUEPRINT Premium,Internal,7143.0,Forecasted Sales,240585.51,Winter
