salesDate,articleGroupDescription,brandDescription,Inhouse_Brand,quantity,category,retailPrice,season
2026-12-31,Mix & match jacket,Campbell,Internal,178.0,Forecasted Sales,16601.86,Year Round
2026-12-31,Mix & match jacket,Dutch Dandies,Internal,1070.0,Forecasted Sales,170173.3,Year Round
2026-12-31,Mix & match jacket,Others,External,2101.0,Forecasted Sales,562437.7,Year Round
2026-12-31,Mix & match jacket,Recall,Internal,500.0,Forecasted Sales,33907.93,Year Round
2026-12-31,Mix & match jacket,Runway PARTY,Internal,1102.0,Forecasted Sales,194937.33,Year Round
2026-12-31,Mix & match jacket,The BLUEPRINT Premium,Internal,528.0,Forecasted Sales,68357.21,Year Round
2026-12-31,Trousers,Campbell,Internal,145.0,Forecasted Sales,7452.77,Year Round
2026-12-31,Trousers,Dutch Dandies,Internal,586.0,Forecasted Sales,36159.33,Year Round
2026-12-31,Trousers,J.C. RAGS,Internal,297.0,Forecasted Sales,15204.49,Year Round
2026-12-31,Trousers,Others,External,3519.0,Forecasted Sales,433892.7,Year Round
2026-12-31,Trousers,Runway PARTY,Internal,161.0,Forecasted Sales,15237.1,Year Round
2026-12-31,Jeans,J.C. RAGS,Internal,2312.0,Forecasted Sales,173740.78,Year Round
2026-12-31,Jeans,Others,External,9732.0,Forecasted Sales,1455907.2,Year Round
2026-12-31,Socks,Dutch Dandies,Internal,245.0,Forecasted Sales,2147.24,Year Round
2026-12-31,Socks,Others,External,3391.0,Forecasted Sales,46456.7,Year Round
2026-12-31,Chino,Campbell,Internal,1122.0,Forecasted Sales,59914.14,Year Round
2026-12-31,Chino,Donkervoort,Internal,135.0,Forecasted Sales,5301.14,Year Round
2026-12-31,Chino,Dutch Dandies,Internal,912.0,Forecasted Sales,48326.05,Year Round
2026-12-31,Chino,J.C. RAGS,Internal,1603.0,Forecasted Sales,57516.89,Year Round
2026-12-31,Chino,Others,External,31238.0,Forecasted Sales,4607605.0,Year Round
2026-12-31,Others,Campbell,Internal,2972.0,Forecasted Sales,137638.79,Year Round
2026-12-31,Others,Donkervoort,Internal,507.0,Forecasted Sales,12967.48,Year Round
2026-12-31,Others,Dutch Dandies,Internal,644.0,Forecasted Sales,50569.12,Year Round
2026-12-31,Others,J.C. RAGS,Internal,1808.0,Forecasted Sales,60968.34,Year Round
2026-12-31,Others,Others,External,13654.0,Forecasted Sales,417812.4,Year Round
2026-12-31,Others,Recall,Internal,383.0,Forecasted Sales,24194.4,Year Round
2026-12-31,Others,The BLUEPRINT Premium,Internal,2173.0,Forecasted Sales,69551.88,Year Round
2026-12-31,Polo LS,Campbell,Internal,944.0,Forecasted Sales,31508.12,Year Round
2026-12-31,Polo LS,Donkervoort,Internal,812.0,Forecasted Sales,22843.74,Year Round
2026-12-31,Polo LS,Dutch Dandies,Internal,773.0,Forecasted Sales,66295.59,Year Round
2026-12-31,Polo LS,J.C. RAGS,Internal,3.0,Forecasted Sales,148.49,Year Round
2026-12-31,Polo LS,Others,External,4638.0,Forecasted Sales,505078.2,Year Round
2026-12-31,5-pocket,Donkervoort,Internal,1.0,Forecasted Sales,38.95,Year Round
2026-12-31,5-pocket,J.C. RAGS,Internal,98.0,Forecasted Sales,3170.48,Year Round
2026-12-31,5-pocket,Others,External,2346.0,Forecasted Sales,253602.6,Year Round
2026-12-31,Casual Shoe,Campbell,Internal,570.0,Forecasted Sales,36851.53,Year Round
2026-12-31,Casual Shoe,Others,External,2717.0,Forecasted Sales,466508.9,Year Round
2026-12-31,Casual Shoe,Recall,Internal,18.0,Forecasted Sales,2218.78,Year Round
2026-12-31,Headwear,Campbell,Internal,702.0,Forecasted Sales,8626.26,Year Round
2026-12-31,Headwear,J.C. RAGS,Internal,627.0,Forecasted Sales,6486.23,Year Round
2026-12-31,Headwear,Others,External,3900.0,Forecasted Sales,166140.0,Year Round
2026-12-31,Sweatshirt,Campbell,Internal,125.0,Forecasted Sales,3613.04,Year Round
2026-12-31,Sweatshirt,Donkervoort,Internal,423.0,Forecasted Sales,13243.4,Year Round
2026-12-31,Sweatshirt,J.C. RAGS,Internal,1548.0,Forecasted Sales,60964.96,Year Round
2026-12-31,Sweatshirt,Others,External,6136.0,Forecasted Sales,597646.4,Year Round
2026-12-31,Sweatshirt,The BLUEPRINT Premium,Internal,200.0,Forecasted Sales,4668.46,Year Round
2026-12-31,Overshirt,Campbell,Internal,926.0,Forecasted Sales,56570.37,Year Round
2026-12-31,Overshirt,Donkervoort,Internal,82.0,Forecasted Sales,3001.06,Year Round
2026-12-31,Overshirt,Dutch Dandies,Internal,374.0,Forecasted Sales,32199.65,Year Round
2026-12-31,Overshirt,J.C. RAGS,Internal,2265.0,Forecasted Sales,135098.91,Year Round
2026-12-31,Overshirt,Others,External,6451.0,Forecasted Sales,1039901.2,Year Round
2026-12-31,Overshirt,Runway PARTY,Internal,411.0,Forecasted Sales,24902.15,Year Round
2026-12-31,Cardigan,Campbell,Internal,4034.0,Forecasted Sales,248556.74,Year Round
2026-12-31,Cardigan,Donkervoort,Internal,1300.0,Forecasted Sales,67721.63,Year Round
2026-12-31,Cardigan,Dutch Dandies,Internal,799.0,Forecasted Sales,53053.05,Year Round
2026-12-31,Cardigan,J.C. RAGS,Internal,800.0,Forecasted Sales,64827.95,Year Round
2026-12-31,Cardigan,Others,External,10200.0,Forecasted Sales,1477980.0,Year Round
2026-12-31,Cardigan,The BLUEPRINT Premium,Internal,2988.0,Forecasted Sales,100487.24,Year Round
2026-12-31,Dress Shoe,Others,External,2775.0,Forecasted Sales,470085.0,Year Round
2026-12-31,Dress Shoe,Recall,Internal,2184.0,Forecasted Sales,150123.93,Year Round
2026-12-31,Casual shirt LS,Campbell,Internal,14045.0,Forecasted Sales,595313.0,Year Round
2026-12-31,Casual shirt LS,Donkervoort,Internal,175.0,Forecasted Sales,6752.97,Year Round
2026-12-31,Casual shirt LS,J.C. RAGS,Internal,2869.0,Forecasted Sales,136435.76,Year Round
2026-12-31,Casual shirt LS,Others,External,23035.0,Forecasted Sales,2133041.0,Year Round
